Entry Price,Sell Price,Quantity,PnL,Trade Duration (s),Trade Date Time,Sell Reason,Percent of Trade,Highest Price Reached,Earnings with Highest Price (%),Lowest Price Reached,Lowest Price under Buy Price (%),Long / Short,Earnings Total,Earnings per Trade,Percent per Trade,Profit per year,Profit with ...,50
167.92,168.12,0.119,0.00652485568,17.94,2025-11-03T19:16:15.581Z,profit target reached,0.01095653766,168.135,0.0416,,,,-0.7684113634,-0.002715234499,-0.004315630598,0.3847375631,19.23687815,year 1
166.28,166.53,0.179,0.01901446832,7.45,2025-11-03T20:30:23.195Z,profit target reached,0.03161725792,166.485,0.0369,,,,,,,0.1480229924,7.401149622,year 2
164.4,164.75,0.179,0.0371974888,23.85,2025-11-03T21:00:43.959Z,profit target reached,0.06115267159,164.735,0.1173,,,,,,,0.05695000539,2.84750027,year 3
165.02,165.37,0.179,0.03710160208,39.65,2025-11-03T21:23:05.776Z,profit target reached,0.06122506375,165.345,0.1105,,,,,,,0.02191080629,1.095540315,year 4
165.42,165.67,0.179,0.01914747248,585.34,2025-11-03T22:46:27.691Z,profit target reached,0.03167374898,165.665,0.0617,,,,,,,0.008429910217,0.4214955109,year 5
165.47,165.71,0.179,0.01735051296,49.49,2025-11-03T23:22:14.819Z,profit target reached,0.02870989379,165.68,0.0405,,,,,,,0.003243303114,0.1621651557,
164.93,165.13,0.179,0.01027712032,29.23,2025-11-04T00:33:50.873Z,profit target reached,0.01695005454,165.195,0.0742,,,,,,,0.001247820536,0.06239102682,
166.81,167.1,0.179,0.02608940752,522.85,2025-11-04T01:20:50.985Z,profit target reached,0.04351974068,167.085,0.0784,,,,,,,0.0004800834323,0.02400417162,
168.01,168.25,0.179,0.01695768672,459.83,2025-11-04T02:20:13.929Z,profit target reached,0.02849060946,168.225,0.0415,,,,,,,,,
166.96,167.2,0.179,0.01712007552,28.41,2025-11-04T03:13:17.734Z,profit target reached,0.02858367809,167.205,0.0603,,,,,,,,,
